"CustomerId","Age","VegOrNonVeg","PreviousOrders","FavouriteCuisine","AverageBill","OrderedItem"
"367","47","Veg","38","Italian","700.95","Margherita Pizza"
"312","34","Veg","8","Italian","502.34","Margherita Pizza"
"181","38","NonVeg","42","Chinese","202.81","Butter Chicken"
"279","57","Veg","19","South Indian","242.81","Paneer Butter Masala"
"392","69","Veg","12","South Indian","1121.95","Gulab Jamun"
"338","57","Veg","4","Chinese","656.09","Gulab Jamun"
"453","66","Veg","4","South Indian","969.94","Gulab Jamun"
"263","36","Veg","11","South Indian","940.28","Paneer Butter Masala"
"408","26","Veg","17","Italian","391.64","Hakka Noodles"
"175","30","Veg","22","Continental","1188.11","Margherita Pizza"
"324","31","NonVeg","28","Continental","1003.35","Gulab Jamun"
"414","28","NonVeg","18","South Indian","962.87","Hakka Noodles"
"310","60","NonVeg","7","North Indian","489.79","Butter Chicken"
"290","23","Veg","10","Chinese","1211.51","Paneer Butter Masala"
"340","38","Veg","37","Italian","846.5","Hakka Noodles"
"46","30","Veg","42","Chinese","1234.09","Veg Biryani"
"481","21","Veg","24","Continental","1365.62","Veg Biryani"
"215","48","NonVeg","26","South Indian","1057.19","Hakka Noodles"
"75","62","Veg","37","Italian","261.98","Margherita Pizza"
"412","24","NonVeg","5","Italian","357.37","Fish Curry"
"287","59","Veg","17","South Indian","813.87","Paneer Butter Masala"
"15","57","NonVeg","39","Chinese","921.28","Fish Curry"
"398","19","Veg","37","South Indian","480.39","Veg Biryani"
"195","53","Veg","36","North Indian","1309.29","Paneer Butter Masala"
"479","64","Veg","37","Italian","344.25","Margherita Pizza"
"406","45","Veg","9","South Indian","1206.36","Masala Dosa"
"50","66","NonVeg","20","Continental","323.24","Chicken Pizza"
"46","24","Veg","40","South Indian","215.07","Veg Biryani"
"51","62","Veg","26","Italian","401.85","Margherita Pizza"
"436","24","Veg","22","North Indian","267.76","Paneer Butter Masala"
"259","61","Veg","18","Chinese","1360.5","Margherita Pizza"
"376","62","Veg","37","South Indian","528.22","Paneer Butter Masala"
"380","31","Veg","5","Continental","1219.65","Paneer Butter Masala"
"338","29","NonVeg","30","Chinese","1031.96","Chicken Pizza"
"399","37","NonVeg","3","Continental","452.24","Butter Chicken"
"149","55","NonVeg","3","Italian","867.72","Hakka Noodles"
"2","29","Veg","40","Chinese","599.57","Paneer Butter Masala"
"434","22","Veg","10","South Indian","315.76","Masala Dosa"
"305","21","Veg","13","Chinese","1189.57","Veg Biryani"
"233","58","Veg","3","Chinese","1325.4","Margherita Pizza"
"274","24","Veg","13","North Indian","733.4","Paneer Butter Masala"
"497","35","NonVeg","16","Chinese","988.05","Gulab Jamun"
"142","65","Veg","6","Continental","1295.18","Margherita Pizza"
"324","53","NonVeg","33","Chinese","1006.39","Hakka Noodles"
"225","50","NonVeg","18","Continental","826.26","Fish Curry"
"479","69","Veg","29","Continental","565.37","Paneer Butter Masala"
"372","39","NonVeg","8","Continental","919.33","Hakka Noodles"
"432","63","NonVeg","2","Continental","397.26","Fish Curry"
"227","49","Veg","34","Italian","1258.4","Hakka Noodles"
"355","27","NonVeg","6","Continental","832.66","Butter Chicken"
"463","43","NonVeg","27","Italian","571.61","Hakka Noodles"
"134","19","NonVeg","4","Italian","1265.27","Fish Curry"
"377","70","NonVeg","16","South Indian","883.29","Chicken Biryani"
"189","33","Veg","19","Continental","783.87","Paneer Butter Masala"
"111","44","NonVeg","4","North Indian","220.16","Chicken Biryani"
"185","62","Veg","38","Italian","1305.32","Margherita Pizza"
"288","60","NonVeg","44","Chinese","403.29","Chicken Biryani"
"101","32","Veg","43","Chinese","1328.22","Margherita Pizza"
"97","61","Veg","37","North Indian","837.25","Veg Biryani"
"260","20","Veg","39","North Indian","235.79","Paneer Butter Masala"
"77","49","NonVeg","29","Italian","639.75","Fish Curry"
"245","67","Veg","14","Italian","1142.72","Margherita Pizza"
"122","41","Veg","4","North Indian","204.42","Veg Biryani"
"5","45","Veg","18","North Indian","391.63","Paneer Butter Masala"
"382","53","NonVeg","7","North Indian","246.68","Chicken Biryani"
"339","29","Veg","26","South Indian","237.36","Masala Dosa"
"442","47","NonVeg","33","Italian","1024.67","Fish Curry"
"304","43","NonVeg","2","Chinese","511.8","Hakka Noodles"
"33","65","Veg","10","South Indian","352.68","Masala Dosa"
"137","55","Veg","33","North Indian","1052.5","Veg Biryani"
"109","44","NonVeg","43","Italian","859.39","Fish Curry"
"483","28","Veg","21","Chinese","331.42","Hakka Noodles"
"91","66","Veg","35","North Indian","365.36","Veg Biryani"
"167","66","Veg","40","South Indian","912.82","Masala Dosa"
"424","33","Veg","43","Continental","911.15","Paneer Butter Masala"
"493","31","Veg","32","North Indian","649.68","Veg Biryani"
"348","53","Veg","1","Chinese","300.77","Gulab Jamun"
"396","27","Veg","26","Continental","291.89","Hakka Noodles"
"290","19","Veg","43","North Indian","1241.3","Paneer Butter Masala"
"450","56","NonVeg","23","Italian","322.94","Fish Curry"
"337","63","Veg","34","North Indian","413.09","Paneer Butter Masala"
"129","43","NonVeg","23","Continental","943.65","Butter Chicken"
"58","35","Veg","23","Italian","247.46","Margherita Pizza"
"114","57","NonVeg","23","Chinese","667.35","Gulab Jamun"
"467","67","Veg","44","Italian","1137.03","Margherita Pizza"
"161","34","NonVeg","40","Continental","320.54","Fish Curry"
"273","67","Veg","11","Italian","567.53","Margherita Pizza"
"203","64","Veg","3","North Indian","1118.85","Paneer Butter Masala"
"55","42","Veg","35","South Indian","715.58","Masala Dosa"
"270","31","Veg","37","Italian","568.01","Margherita Pizza"
"6","52","Veg","42","Chinese","1134.64","Hakka Noodles"
"408","36","Veg","4","South Indian","998.58","Paneer Butter Masala"
"29","67","Veg","1","Continental","813.63","Margherita Pizza"
"424","23","Veg","30","North Indian","433.1","Veg Biryani"
"337","43","NonVeg","44","Italian","187.11","Fish Curry"
"115","32","Veg","44","North Indian","653","Paneer Butter Masala"
"59","31","NonVeg","34","Chinese","532.65","Gulab Jamun"
"166","46","Veg","35","Continental","758.82","Paneer Butter Masala"
"272","18","Veg","26","South Indian","378.01","Masala Dosa"
"436","52","NonVeg","30","North Indian","351.04","Chicken Biryani"
"329","48","NonVeg","6","North Indian","1171.49","Chicken Biryani"
"432","66","Veg","41","Continental","1055.34","Veg Biryani"
"468","42","Veg","24","South Indian","590.68","Gulab Jamun"
"134","50","NonVeg","11","Italian","1004.46","Fish Curry"
"299","58","Veg","7","North Indian","475.55","Veg Biryani"
"484","43","NonVeg","29","Chinese","988.53","Chicken Biryani"
"47","22","Veg","20","Chinese","996.39","Veg Biryani"
"98","30","NonVeg","36","North Indian","1302.11","Butter Chicken"
"485","39","Veg","7","Continental","647.83","Hakka Noodles"
"72","44","NonVeg","22","Chinese","499.39","Hakka Noodles"
"486","59","Veg","30","Continental","1342.74","Masala Dosa"
"264","64","NonVeg","1","Chinese","388.04","Hakka Noodles"
"266","64","NonVeg","14","South Indian","661.94","Butter Chicken"
"38","34","NonVeg","13","Italian","1377.2","Fish Curry"
"297","43","NonVeg","19","Continental","1321.38","Chicken Pizza"
"231","41","Veg","43","North Indian","448.83","Veg Biryani"
"263","20","Veg","10","North Indian","710.85","Veg Biryani"
"309","50","Veg","39","North Indian","914.36","Veg Biryani"
"231","68","Veg","43","South Indian","1253.77","Hakka Noodles"
"205","39","NonVeg","10","Italian","1299.52","Fish Curry"
"216","32","Veg","8","South Indian","263.18","Margherita Pizza"
"137","52","Veg","25","North Indian","840.11","Paneer Butter Masala"
"427","47","NonVeg","15","Italian","1352.66","Hakka Noodles"
"248","21","NonVeg","15","Continental","1379.44","Butter Chicken"
"319","30","Veg","23","Continental","320.36","Veg Biryani"
"172","25","NonVeg","24","Chinese","403.24","Gulab Jamun"
"146","36","Veg","16","Italian","406.34","Margherita Pizza"
"428","55","Veg","43","Continental","846.49","Masala Dosa"
"110","37","Veg","4","Continental","1302.71","Gulab Jamun"
"214","33","Veg","20","North Indian","943.4","Veg Biryani"
"205","69","NonVeg","35","Chinese","792.74","Chicken Pizza"
"357","29","Veg","36","Continental","424.06","Masala Dosa"
"259","56","Veg","25","Italian","1118","Margherita Pizza"
"383","24","NonVeg","12","Italian","328.29","Fish Curry"
"27","23","Veg","25","Continental","1217.92","Veg Biryani"
"374","20","Veg","2","North Indian","714.53","Veg Biryani"
"84","36","NonVeg","33","South Indian","787.45","Gulab Jamun"
"285","43","Veg","38","Continental","1270.3","Paneer Butter Masala"
"424","27","Veg","18","Italian","954","Margherita Pizza"
"52","34","Veg","15","South Indian","971.14","Paneer Butter Masala"
"341","55","Veg","15","Italian","1104.86","Hakka Noodles"
"387","32","Veg","28","Italian","898.06","Hakka Noodles"
"316","26","Veg","43","Chinese","762.6","Hakka Noodles"
"428","47","Veg","36","Chinese","1260.12","Hakka Noodles"
"16","67","Veg","38","South Indian","257.29","Paneer Butter Masala"
"386","20","Veg","7","Italian","1243.86","Margherita Pizza"
"453","35","Veg","3","Chinese","267.55","Paneer Butter Masala"
"81","31","Veg","8","South Indian","746.11","Hakka Noodles"
"72","27","NonVeg","39","Italian","1171.38","Fish Curry"
"173","59","Veg","24","Chinese","1071.69","Hakka Noodles"
"54","52","Veg","27","Continental","1210.48","Margherita Pizza"
"116","58","NonVeg","37","Chinese","1321.8","Chicken Pizza"
"338","35","Veg","27","Chinese","1224.48","Masala Dosa"
"433","65","NonVeg","3","South Indian","934.65","Gulab Jamun"
"278","36","NonVeg","15","Italian","850.95","Fish Curry"
"305","26","Veg","27","Italian","244.4","Hakka Noodles"
"213","59","NonVeg","39","North Indian","1272.87","Chicken Biryani"
"219","28","Veg","39","Continental","983.74","Veg Biryani"
"379","55","Veg","11","Italian","469.46","Hakka Noodles"
"206","21","Veg","18","Italian","991.61","Margherita Pizza"
"87","45","Veg","36","Continental","259.6","Veg Biryani"
"62","59","Veg","32","North Indian","707.93","Veg Biryani"
"80","27","Veg","40","Italian","321.7","Margherita Pizza"
"231","22","Veg","36","South Indian","1202.28","Margherita Pizza"
"358","53","Veg","11","Italian","198.33","Hakka Noodles"
"333","70","NonVeg","27","North Indian","496.89","Chicken Biryani"
"460","70","Veg","36","Italian","941.27","Hakka Noodles"
"438","41","Veg","25","Italian","482.56","Margherita Pizza"
"222","52","Veg","10","North Indian","1035.16","Veg Biryani"
"61","65","NonVeg","19","Italian","669.68","Fish Curry"
"94","54","Veg","38","South Indian","772.45","Hakka Noodles"
"48","64","NonVeg","10","North Indian","831.31","Chicken Biryani"
"115","67","NonVeg","34","Chinese","1186.78","Chicken Pizza"
"169","52","Veg","25","South Indian","446.14","Margherita Pizza"
"43","21","Veg","10","South Indian","1137.13","Margherita Pizza"
"376","38","Veg","34","Chinese","1006.24","Hakka Noodles"
"395","27","NonVeg","8","Continental","597.17","Hakka Noodles"
"483","30","NonVeg","26","Chinese","1249.68","Chicken Pizza"
"18","19","NonVeg","12","South Indian","1200.09","Gulab Jamun"
"406","63","NonVeg","33","Continental","193.26","Hakka Noodles"
"280","51","NonVeg","7","North Indian","753.91","Chicken Biryani"
"240","67","Veg","39","South Indian","837.67","Veg Biryani"
"408","33","NonVeg","40","Chinese","321.88","Butter Chicken"
"173","64","Veg","37","Italian","1039.01","Margherita Pizza"
"152","68","Veg","15","Italian","1353.82","Hakka Noodles"
"303","33","NonVeg","19","Italian","668.81","Fish Curry"
"55","51","NonVeg","14","South Indian","847.62","Gulab Jamun"
"290","41","Veg","40","Continental","1373.7","Margherita Pizza"
"380","55","Veg","34","South Indian","437","Masala Dosa"
"482","38","NonVeg","26","Italian","389.67","Fish Curry"
"500","61","Veg","32","Italian","434.2","Margherita Pizza"
"130","41","Veg","8","Italian","462.25","Hakka Noodles"
"261","32","Veg","44","Italian","1050.66","Margherita Pizza"
"296","24","Veg","9","Chinese","1194.33","Gulab Jamun"
"120","63","NonVeg","17","Chinese","355.52","Chicken Biryani"
"314","22","Veg","35","North Indian","876.3","Paneer Butter Masala"
"131","55","NonVeg","44","Chinese","780.61","Chicken Pizza"
"60","66","Veg","20","Italian","710.96","Margherita Pizza"
"349","45","NonVeg","17","Italian","668.5","Fish Curry"
"289","48","NonVeg","4","Chinese","203.61","Butter Chicken"
"88","55","Veg","7","South Indian","1252.92","Veg Biryani"
"202","49","Veg","16","South Indian","575.94","Hakka Noodles"
"471","69","Veg","31","Continental","323.46","Margherita Pizza"
"287","28","NonVeg","8","Italian","1295.1","Hakka Noodles"
"69","24","NonVeg","22","Continental","999.91","Hakka Noodles"
"106","60","Veg","25","South Indian","1311.71","Hakka Noodles"
"462","42","Veg","4","North Indian","531.73","Paneer Butter Masala"
"307","57","NonVeg","40","South Indian","943.48","Fish Curry"
"255","37","NonVeg","43","Continental","903.48","Butter Chicken"
"231","67","Veg","29","Continental","499.17","Hakka Noodles"
"82","55","Veg","8","North Indian","1057.11","Paneer Butter Masala"
"370","34","Veg","28","North Indian","959.64","Veg Biryani"
"198","30","Veg","3","Italian","809.66","Margherita Pizza"
"221","48","Veg","15","Italian","1023.12","Hakka Noodles"
"264","65","Veg","2","Italian","733.65","Margherita Pizza"
"14","30","Veg","40","Chinese","721.09","Masala Dosa"
"24","30","NonVeg","42","South Indian","1102.8","Hakka Noodles"
"351","26","Veg","33","Italian","260.74","Margherita Pizza"
"69","38","Veg","2","Continental","1045.45","Veg Biryani"
"207","58","NonVeg","9","Chinese","433.8","Butter Chicken"
"499","29","NonVeg","4","North Indian","620.67","Chicken Biryani"
"165","26","Veg","42","South Indian","652.8","Gulab Jamun"
"371","66","NonVeg","18","South Indian","1172.83","Fish Curry"
"428","26","NonVeg","33","Continental","1248.49","Butter Chicken"
"241","46","NonVeg","25","Chinese","939.94","Chicken Pizza"
"473","62","Veg","31","Chinese","1023.24","Veg Biryani"
"111","37","Veg","15","North Indian","1149.95","Veg Biryani"
"422","50","Veg","17","Chinese","987.68","Gulab Jamun"
"30","30","Veg","21","South Indian","350.45","Margherita Pizza"
"308","41","Veg","34","South Indian","1198.23","Masala Dosa"
"40","36","Veg","6","Chinese","1133.92","Masala Dosa"
"396","37","NonVeg","4","Italian","940.67","Fish Curry"
"464","42","NonVeg","43","North Indian","944.92","Chicken Biryani"
"299","59","Veg","25","South Indian","1243.91","Hakka Noodles"
"457","42","NonVeg","43","Italian","906.94","Hakka Noodles"
"139","46","Veg","39","South Indian","1096.91","Masala Dosa"
"435","25","NonVeg","23","South Indian","502.16","Fish Curry"
"496","27","Veg","10","Continental","1006.75","Veg Biryani"
"280","50","Veg","40","Italian","759.02","Margherita Pizza"
"457","54","NonVeg","2","North Indian","1232.58","Butter Chicken"
"463","55","NonVeg","39","North Indian","960.04","Chicken Biryani"
"322","27","NonVeg","28","North Indian","1052.37","Chicken Biryani"
"142","39","NonVeg","41","Chinese","1286.07","Fish Curry"
"461","40","NonVeg","13","Continental","1041.78","Chicken Biryani"
"224","59","Veg","18","Italian","1326.44","Margherita Pizza"
"235","66","NonVeg","2","South Indian","260.39","Fish Curry"
"218","47","Veg","34","South Indian","1278.14","Paneer Butter Masala"
"142","30","Veg","43","North Indian","937.91","Paneer Butter Masala"
"146","32","Veg","42","Italian","185.1","Margherita Pizza"
"198","30","Veg","34","South Indian","416.17","Paneer Butter Masala"
"249","70","Veg","38","Continental","1156.08","Veg Biryani"
"436","19","NonVeg","36","Italian","762.67","Hakka Noodles"
"270","21","Veg","15","Italian","377.35","Margherita Pizza"
"319","22","NonVeg","3","North Indian","392.33","Butter Chicken"
"161","19","Veg","32","Continental","228.41","Gulab Jamun"
"127","19","Veg","37","North Indian","1123.1","Paneer Butter Masala"
"121","52","Veg","23","North Indian","685.08","Paneer Butter Masala"
"79","41","NonVeg","2","Italian","1205.87","Fish Curry"
"451","30","NonVeg","29","Chinese","1210.92","Fish Curry"
"7","67","Veg","20","North Indian","840.33","Paneer Butter Masala"
"19","27","Veg","17","Italian","523.17","Hakka Noodles"
"215","56","NonVeg","34","Italian","656.04","Fish Curry"
"291","33","Veg","9","Chinese","377.05","Masala Dosa"
"395","61","Veg","41","North Indian","603.44","Paneer Butter Masala"
"361","21","Veg","39","North Indian","452.73","Paneer Butter Masala"
"135","70","NonVeg","26","Chinese","324.65","Hakka Noodles"
"255","36","Veg","21","Continental","746.91","Paneer Butter Masala"
"320","53","Veg","17","South Indian","698.79","Paneer Butter Masala"
"179","26","Veg","42","Italian","475.79","Hakka Noodles"
"334","61","Veg","8","Continental","1028.61","Margherita Pizza"
"157","53","Veg","2","Chinese","555.33","Paneer Butter Masala"
"237","45","Veg","39","Italian","515.95","Margherita Pizza"
"198","40","NonVeg","35","Italian","279.88","Fish Curry"
"415","63","Veg","39","Chinese","1273.64","Hakka Noodles"
"264","39","NonVeg","34","South Indian","1191.01","Chicken Pizza"
"2","69","NonVeg","6","South Indian","570.18","Chicken Biryani"
"320","33","NonVeg","43","North Indian","1240.54","Chicken Biryani"
"194","69","Veg","28","South Indian","505.94","Hakka Noodles"
"406","33","NonVeg","18","North Indian","762.05","Chicken Biryani"
